date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:04:57	29149/29149	---MCZ	200	added ('OK')	text/html	etag:W/%225edf5155-71dd%22	https://demos.themesindustry.com/megaone/index-personal.html	C:/My%20Web%20Sites/profile/demos.themesindustry.com/megaone/index-personal.html	(from )
19:04:58	65/65	---M--	200	added ('OK')	text/plain	etag:%225de528ec-41%22	https://demos.themesindustry.com/robots.txt		(from )
19:05:00	15406/15406	---M--	200	added ('OK')	image/x-icon	etag:%225edd132c-3c2e%22	https://demos.themesindustry.com/megaone/personal/img/favicon.ico	C:/My%20Web%20Sites/profile/demos.themesindustry.com/megaone/personal/img/favicon.ico	(from https://demos.themesindustry.com/megaone/index-personal.html)
19:05:01	269549/269549	---MCZ	200	added ('OK')	text/css	etag:W/%225edd1334-41ced%22	https://demos.themesindustry.com/megaone/vendor/css/bundle.min.css	C:/My%20Web%20Sites/profile/demos.themesindustry.com/megaone/vendor/css/bundle.min.css	(from https://demos.themesindustry.com/megaone/index-personal.html)
19:05:01	22163/22163	---MCZ	200	added ('OK')	text/css	etag:W/%225edd1334-5693%22	https://demos.themesindustry.com/megaone/vendor/css/LineIcons.min.css	C:/My%20Web%20Sites/profile/demos.themesindustry.com/megaone/vendor/css/LineIcons.min.css	(from https://demos.themesindustry.com/megaone/index-personal.html)
19:05:01	30051/30051	---MCZ	200	added ('OK')	text/css	etag:W/%225edd1334-7563%22	https://demos.themesindustry.com/megaone/vendor/css/revolution-settings.min.css	C:/My%20Web%20Sites/profile/demos.themesindustry.com/megaone/vendor/css/revolution-settings.min.css	(from https://demos.themesindustry.com/megaone/index-personal.html)
19:05:02	12198/12198	---MCZ	200	added ('OK')	text/css	etag:W/%225edd1334-2fa6%22	https://demos.themesindustry.com/megaone/vendor/css/jquery.fancybox.min.css	C:/My%20Web%20Sites/profile/demos.themesindustry.com/megaone/vendor/css/jquery.fancybox.min.css	(from https://demos.themesindustry.com/megaone/index-personal.html)
19:05:02	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%225edd1334-d17%22	https://demos.themesindustry.com/megaone/vendor/css/owl.carousel.min.css	C:/My%20Web%20Sites/profile/demos.themesindustry.com/megaone/vendor/css/owl.carousel.min.css	(from https://demos.themesindustry.com/megaone/index-personal.html)
19:05:03	13580/13580	---MCZ	200	added ('OK')	text/css	etag:W/%225edd1334-350c%22	https://demos.themesindustry.com/megaone/vendor/css/swiper.min.css	C:/My%20Web%20Sites/profile/demos.themesindustry.com/megaone/vendor/css/swiper.min.css	(from https://demos.themesindustry.com/megaone/index-personal.html)
19:05:03	83746/83746	---MCZ	200	added ('OK')	text/css	etag:W/%225edd1334-14722%22	https://demos.themesindustry.com/megaone/vendor/css/cubeportfolio.min.css	C:/My%20Web%20Sites/profile/demos.themesindustry.com/megaone/vendor/css/cubeportfolio.min.css	(from https://demos.themesindustry.com/megaone/index-personal.html)
19:05:04	43909/43909	---MCZ	200	added ('OK')	text/css	etag:W/%225edd132c-ab85%22	https://demos.themesindustry.com/megaone/personal/css/page-animation.css	C:/My%20Web%20Sites/profile/demos.themesindustry.com/megaone/personal/css/page-animation.css	(from https://demos.themesindustry.com/megaone/index-personal.html)
